	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L2_CD49a	L3_CD49a
RP23-271O17.1	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0	0	0	0	0	0
RP23-317L18.1	0	0	0	0	0	0	0	0	0	0	0
RP23-317L18.4	0	0	0	0	0	0	0	0	0	0	0
RP23-317L18.3	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.6	0	0	0	0	1	0	0	0	0	0	0
RP23-115I1.1	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.5	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.2	0	0	0	0	0	0	0	0	0	0	0
RP23-115I1.3	0	1	0	0	0	0	0	0	0	0	0
RP23-122M2.3	0	0	0	0	0	0	0	0	0	0	0
RP23-122M2.2	0	0	0	0	0	0	0	0	0	0	0
RP23-122M2.1	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0
RP23-333I7.1	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0
RP23-177A20.1	0	0	0	1	0	0	0	0	0	0	0
RP23-391E12.2	0	0	0	0	0	0	0	0	0	0	0
Sox17	8	0	1	5	17	18	0	0	0	5	2
RP23-285G23.2	0	0	0	0	0	0	0	0	0	0	0
RP23-285G23.3	0	0	0	0	0	1	0	0	0	1	0
Gm22307	0	0	0	0	0	0	0	0	0	0	0
RP23-285G23.4	0	0	0	0	0	0	0	0	0	0	0
RP23-37D15.1	0	0	0	0	0	0	0	0	0	0	0
RP23-37D15.2	0	0	0	0	0	0	0	0	0	0	0
RP23-34E15.1	10	11	5	16	4	10	14	10	15	8	11
RP23-34E15.2	0	5	2	0	0	1	1	0	4	0	7
Gm25493	0	0	0	0	0	0	0	0	0	0	0
RP23-34E15.3	3	0	0	0	0	1	0	0	1	0	0
RP23-34E15.4	38	33	22	39	22	35	32	33	35	24	19
Mrpl15	6252	4197	3186	3206	2326	3253	5809	5069	4706	4012	4032
RP23-34E15.5	4	7	2	6	4	12	8	4	13	9	4
Lypla1	1560	1190	828	1492	1089	1532	1654	1570	1230	1659	1310
RP24-426M1.3	0	0	0	0	0	0	0	0	0	0	0
Tcea1	1345	1119	744	1281	892	1322	1414	1344	1280	1381	1234
RP24-426M1.2	2	0	2	3	2	1	0	0	3	1	1
RP24-426M1.4	0	2	7	11	5	3	10	5	11	5	3
Rgs20	0	1	0	0	2	3	0	0	0	0	0
RP24-141F9.1	0	0	0	0	0	0	0	0	0	0	0
RP24-141F9.2	0	1	0	0	0	0	0	0	0	0	0
AC102242.1	0	0	0	0	0	0	0	0	0	1	0
RP24-363O2.1	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	4056	2879	2076	2300	2277	2420	3309	2649	2664	2640	2155
RP23-267J18.11	0	0	0	0	0	0	0	0	0	0	0
RP23-267J18.10	0	0	0	0	0	0	0	0	0	0	0
RP23-335P21.1	0	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	0	0	0	0	0	0
RP23-238E7.2	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0
RP23-354J2.1	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0
RP23-74E8.1	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	754	803	445	1591	1437	1438	734	736	682	1323	990
AC139064.2	70	67	51	133	95	93	135	60	114	105	76
Fam150a	0	0	0	0	0	0	0	0	0	0	0
RP23-76C20.3	0	0	0	0	0	0	0	0	0	0	0
RP23-76C20.2	0	0	0	0	0	0	0	0	0	0	0
RP23-76C20.4	0	0	0	0	0	1	0	0	1	2	0
St18	0	0	0	0	0	1	0	0	0	2	0
RP23-299N6.3	0	0	0	0	0	0	0	0	0	0	0
RP23-299N6.1	0	0	0	0	0	0	0	1	0	0	0
RP23-5K7.4	3	3	3	0	0	2	1	1	0	1	0
RP23-76C20.5	0	0	0	0	0	0	0	0	0	0	0
RP23-5K7.3	0	0	0	0	0	0	0	0	0	0	0
RP23-5K7.2	0	0	0	0	0	0	0	0	0	0	0
RP23-5K7.1	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	510	386	264	856	807	557	383	612	369	610	431
RP24-149G24.1	0	0	0	0	0	0	0	0	0	0	0
WI1-817D1.2	1	1	5	3	7	4	0	0	3	0	3
RP23-278C19.3	1	0	0	1	0	2	0	3	0	0	0
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0
RP23-278C19.1	0	0	0	0	0	0	0	0	0	0	0
RP24-263A16.1	44	39	29	15	10	17	45	43	38	18	17
RP24-263A16.2	0	0	0	0	0	0	0	0	0	0	0
RP24-181G14.2	0	0	0	0	0	0	0	0	0	0	0
RP24-181G14.1	0	0	0	0	0	0	0	0	0	0	0
RP23-404K2.2	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	0	0	0	0	0	0	0	0	0	0
RP23-408B17.1	0	0	0	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	0	0	0	0	0	0	0
RP23-241G23.1	0	0	0	0	0	0	0	0	0	0	0
AC102786.2	0	0	0	0	0	0	0	0	0	0	0
RP23-311L17.1	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0
RP24-442E5.1	0	0	0	0	0	0	0	0	0	0	0
AC163389.1	0	0	0	0	0	0	0	0	0	0	0
RP23-397E23.1	2	3	2	2	3	3	4	6	3	0	6
Gm24276	2	1	2	1	3	1	4	1	1	4	3
AC118192.1	0	0	0	0	0	0	0	0	0	0	0
RP23-200C17.1	0	0	0	0	0	0	0	0	0	0	0
AC122738.1	0	0	1	0	0	0	0	1	0	0	0
RP23-331M15.1	0	0	0	0	0	0	0	0	0	0	0
RP23-331M15.2	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.1	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.5	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.3	0	0	0	0	0	0	0	0	0	0	0
RP23-411P10.2	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0
RP24-361E12.1	0	0	0	0	0	0	0	0	0	0	0
Rrs1	7625	5809	3477	5401	4849	5700	5529	6189	5338	5553	5510
Adhfe1	39	61	28	21	24	26	16	17	53	30	16
AC103620.4	3	6	4	16	4	8	5	0	6	3	2
AC103620.1	0	0	0	0	0	0	0	0	0	0	0
AC103620.3	0	0	0	0	0	0	0	0	0	0	0
RP24-219C22.3	0	0	0	0	0	0	0	0	0	0	0
Mybl1	1	0	0	18	31	38	10	6	2	13	12
Vcpip1	1896	1722	827	2054	2225	2305	1874	1833	1501	2046	1437
RP23-228O9.1	0	0	1	0	4	0	0	0	0	0	1
Sgk3	369	195	195	167	134	138	373	379	199	286	235
RP23-228O9.3	0	0	0	1	0	1	0	0	0	0	0
Gm22607	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	32	33	25	7	2	10	28	20	37	15	21
Snhg6	900	787	532	420	271	546	1150	813	939	714	617
Snord87	25	50	25	15	12	24	49	51	53	36	28
Tcf24	0	0	0	0	3	11	0	0	0	0	14
RP23-228G18.3	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	3	0	0	0	1	2	0	1
AC102570.3	0	0	0	0	0	0	0	0	0	4	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0
Cops5	3651	2709	2015	2383	2084	2690	3415	3066	2717	2831	2712
Cspp1	465	458	280	390	317	434	573	594	589	433	387
RP23-228G18.5	3	0	0	0	0	5	1	0	1	0	6
Arfgef1	2904	2815	1859	2932	3012	3251	2959	2790	2702	3228	2443
Gm26348	1	4	3	1	1	0	3	0	5	2	1
RP24-327F2.1	3	11	24	16	5	13	3	20	16	30	2
Cpa6	0	0	0	0	0	0	0	0	0	0	0
RP23-418C16.1	0	0	0	0	0	0	0	0	0	0	0
AC102469.1	0	0	2	0	0	0	0	0	0	0	1
Gm25253	0	0	0	0	0	0	0	0	0	0	0
AC102426.1	0	0	0	0	0	0	0	0	0	0	0
RP24-88A10.2	0	0	0	0	0	0	0	0	0	0	0
RP24-88A10.1	0	0	0	0	0	0	0	0	0	0	0
